cas_rn,substance_name,subclass
2795-39-3,Perfluorooctane sulfonic acid potassium salt,PFOS
29081-56-9,Perfluorooctane sulfonic acid ammonium salt,PFOS
678-39-7,"1-Decanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-",PFOA
27905-45-9,"2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl ester",PFOA
2043-53-0,"Decane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-10-iodo-",PFOA
335-66-0,"Octanoyl fluoride, pentadecafluoro-",PFOA
45285-51-6,Perfluorooctanoate,PFOA
335-67-1,Perfluorooctanoic acid,PFOA
21652-58-4,Perfluorooctyl Ethylene,PFOA
65530-62-3,"Poly(difluoromethylene), α,α'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoro-",PFOA
65530-61-2,"Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]-",PFOA
70969-47-0,"Thiols, C8-20, γ-ω-perfluoro, telomers with acrylamide",PFOA
335-95-5,Perfluorooctanoic acid sodium salt,PFOA
375-73-5,"1-Butanesulfonic acid, 1,1,2,2,3,3,4,4,4-nonafluoro-",Other PFAS
375-92-8,Perfluoroheptanesulfonic acid,Other PFAS
307-24-4,"Hexanoic acid, undecafluoro-",Other PFAS
2706-90-3,"Pentanoic acid, nonafluoro-",Other PFAS
375-22-4,"Heptanoic acid, tridecafluoro-",Other PFAS
375-85-9,"Heptanoic acid, tridecafluoro-",Other PFAS
68259-12-1,Perfluorononanesulfonic acid,Other PFAS
335-77-3,Perfluorodecanesulfonic acid,Other PFAS
754-91-6,Perfluorooctanesulfonamide,Other PFAS
2355-31-9,2-(N-Methylperfluorooctanesulfonamido)acetic acid,Other PFAS
2991-50-6,2-(N-Ethylperfluorooctanesulfonamido)acetic acid,Other PFAS
757124-72-4,2-(Perfluorobutyl)-1-ethanesulfonic acid,Other PFAS
27619-97-2,"1-Octanesulfonic acid, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-",Other PFAS
13252-13-6,Hexafluoropropylene oxide dimer acid,Other PFAS
