cas_rn,substance_name
2043-53-0,"Decane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8 -heptadecafluoro-10-iodo-"
2058-94-8,Perfluoroundecanoic acid
21049-36-5,"Heptanoic acid, tridecafluoro-, potassium salt"
2127366-90-7,"2,2,3-Trifluoro-3-[1,1,2,2,3,3hexafluoro-3-(trifluoromethoxy) propoxy]propanoate"
21615-47-4,"Hexanoic acid, undecafluoro-, ammonium salt"
21652-58-4,Perfluorooctyl ethylene
21934-50-9,"Perfluoroheptanesulfonic acid, sodium salt"
2196242-82-5,"2-[(8-Chloro-1,1,2,2,3,3,4,4,5,5,6,6,7,7, 8,8-hexadecafluorooctyl)oxy]-1,1,2,2-tetrafluoroethanesulfonate"
220689-13-4,Perfluoro-2-ethoxyethanesulfonate
2218-54-4,"Butanoic acid, 2,2,3,3,4,4,4-heptafluoro-, sodium salt (1:1)"
2250081-67-3,"Sodium 4,8-dioxa-3Hperfluorononanoate"
2263-09-4,"1-Octanesulfonamide, N-butyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-"
2355-31-9,2-(N-Methylperfluorooctanesulfonamido)acetic acid
24448-09-7,"1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5, 6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-N-methyl-"
25268-77-3,2-[[(Heptadecafluorooctyl)sulfonyl]methylamino]ethyl acrylate
2706-90-3,Perfluoropentanoic acid
2706-91-4,Perfluoropentanesulfonic acid
27619-96-1,"8:2 Fluorotelomer sulfonate, sodium salt"
27619-97-2,"1-Octanesulfonic acid, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro"
27854-31-5,2-(Perfluorooctyl)ethanoic acid
27905-45-9,"2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8, 9,9,10,10,10-heptadecafluorodecyl ester"
2795-39-3,"Perfluorooctane sulfonic acid, potassium salt"
2806-15-7,Sodium perfluorodecanesulfonate
29081-56-9,"Perfluorooctane sulfonic acid, ammonium salt"
29117-08-6,"Poly(oxy-1,2-ethanediyl), α-[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl]-ω-hydroxy-"
2923-16-2,"trifluoroacetate salt of potassium,"
2923-18-4,"Trifluoroacetic acid, sodium salt"
2966-50-9,"Trifluoroacetic acid, silver salt"
2991-50-6,2-(N-Ethylperfluorooctanesulfonamido)acetic acid
30334-69-1,Perfluorobutanesulfonamide
307-24-4,Perfluorohexanoic acid
307-35-7,Perfluorooctylsulfonyl fluoride
307-55-1,Perfluorododecanoic acid
307-67-5,"Perfluorododecanoic acid, sodium salt"
31506-32-8,"1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8heptadecafluoro-N-methyl-"
3336-58-1,"Trifluoroacetic acid, ammonium salt"
335-66-0,"Octanoyl fluoride, pentadecafluoro-"
335-67-1,Perfluorooctanoic acid
335-76-2,Perfluorodecanoic acid
335-77-3,Perfluorodecanesulfonic acid
335-95-5,"Perfluorooctanoic acid, sodium salt"
34362-49-7,"1,1,2,2-Tetrahydroperfluorohexadecyl acrylate"
343629-43-6,Perfluorododecanesulfonate
34395-24-9,"2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8, 9,9,10,10,11,11,12,12,13,13,14,14, 14-pentacosafluorotetradecyl ester"
355-46-4,Perfluorohexanesulfonic acid
356-02-5,3:3 Fluorotelomer carboxylic acid
365971-87-5,Perfluorotetradecanoate
37338-48-0,"Poly[oxy(methyl-1,2-ethanediyl)], α-[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl]-ω-hydroxy-"
375-22-4,Perfluorobutanoic acid
375-73-5,Perfluorobutanesulfonic acid
375-85-9,Perfluoroheptanoic acid
375-92-8,Perfluoroheptanesulfonic acid
375-95-1,Perfluorononanoic acid
376-06-7,Perfluorotetradecanoic acid
376-27-2,Methyl perfluorooctanoate
377-73-1,Perfluoro-3-methoxypropanoic acid
382-21-8,Perfluoroisobutene
3830-45-3,"Perfluorodecanoic acid, sodium salt"
38436-16-7,"Dichloromethyl(3,3,4,4,5,5,6,6,6nonafluorohexyl)silane"
3871-99-6,"Perfluorohexanesulfonic acid, potassium salt"
39108-34-4,8:2 Fluorotelomer sulfonic acid
39187-41-2,"Methyl perfluoro-3,6-dioxaheptanoate"
414911-30-1,4:2 Fluorotelomer sulfonate
4151-50-2,"1-Octanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro"
425670-75-3,"3,3,4,4,5,5,6,6,7,7,8,8,8Tridecafluorooctane-1-sulfonate"
45048-62-2,Perfluorobutanoate
45167-47-3,Perfluoropentanoate
45187-15-3,Perfluorobutanesulfonate
45285-51-6,Perfluorooctanoate
45298-90-6,Perfluorooctanesulfonate
474511-07-4,Perfluorononanesulfonate
481071-78-7,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10Heptadecafluorodecane-1-sulfonate"
507-63-1,Perfluorooctyl iodide
53826-12-3,2-(Perfluorohexyl)ethanoic acid
56773-42-3,"Ethanaminium, N,N,N-triethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8heptadecafluoro-1-octanesulfonic acid (1:1)"
59587-39-2,"1-Octanesulfonic acid, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-, ammonium salt"
60871-96-7,Sodium perfluoro-n-undecanoate
6130-43-4,"Heptanoic acid, tridecafluoro-, ammonium salt"
62037-80-3,"Hexafluoropropylene oxide dimer acid, ammonium salt"
647-42-7,"1-Octanol, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-"
65104-45-2,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5, 6,6,7,7,8,8,9,9,10,10,11,11,12,12,12heneicosafluorododecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10, 10-heptadecafluorodecyl 2-methyl2-propenoate, methyl 2-methyl2-propenoate, and 3,3,4,4,5,5,6,6,7,7,8,8tridecafluorooctyl 2-methyl-2-propenoate"
65530-61-2,"Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]"
65530-62-3,"Poly(difluoromethylene), α,α′-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoro"
65530-63-4,"Ethanol, 2,2′-iminobis-, compd. with α-fluoro-ω-[2-(phosphonooxy)ethyl] poly(difluoromethylene) (2:1)"
65530-64-5,"Ethanol, 2,2′-iminobis-, compd. with α,α′-[phosphinicobis(oxy-2,1-ethanediyl)] bis[ω-fluoropoly(difluoromethylene)] (1:1)"
65530-69-0,"Poly(difluoromethylene), α-[2-[(2-carboxyethyl)thio]ethyl]-ω-fluoro-, lithium salt (1:1)"
65530-70-3,"Poly(difluoromethylene), α,α′-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoro-, ammonium salt (1:1)"
65530-72-5,"Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]-, ammonium salt (1:2)"
65530-83-8,"Poly(difluoromethylene), α-[2-[(2-carboxyethyl)thio]ethyl]-ω-fluoro"
65545-80-4,"Poly(oxy-1,2-ethanediyl), α-hydro-ω-hydroxy-, ether with α-fluoro-ω-(2-hydroxyethyl)poly(difluoromethylene) (1:1)"
65605-58-5,"2-Propenoic acid, 2-methyl-, dodecyl ester, polymer with α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl]poly(difluoromethylene)"
65605-73-4,"Poly(difluoromethylene), α-fluoro-ω-[2-[(1-oxo-2-propenyl)oxy]ethyl]-, homopolymer"
65636-35-3,"Ethanaminium, N,N-diethyl-N-methyl-2[(2-methyl-1-oxo-2-propenyl)oxy]-, methyl sulfate, polymer with 2-ethylhexyl 2-methyl-2-propenoate, α-fluoro-ω-[2-[(2-methyl-1-oxo-2propenyl)oxy]ethyl]poly (difluoromethylene), 2-hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamide"
67584-58-1,"1-Propanaminium, N,N,N-trimethyl-3-[[(pentadecafluoroheptyl)sulfonyl]amino]-, iodide"
678-39-7,"1-Decanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10, 10,10-heptadecafluoro-"
67905-19-5,Perfluorohexadecanoic acid
68140-18-1,"Thiols, C4-10, γ-ω-perfluoro"
68140-20-5,"Thiols, C6-12, γ-ω-perfluoro"
68140-21-6,"Thiols, C10-10, γ-ω-perfluoro"
68187-47-3,"1-Propanesulfonic acid, 2-methyl-, 2-[[1-oxo-3-[(γ-ω-perfluoro-C4-16-alkyl)thio]propyl]amino] derivs., sodium salts"
68227-96-3,"2-Propenoic acid, butyl ester, telomer with 2-[[(heptadecafluorooctyl)sulfonyl] methylamino]ethyl 2-propenoate, 2-[methyl[(nonafluorobutyl) sulfonyl]amino]ethyl 2-propenoate, α-(2-methyl-1-oxo-2-propenyl)-ωhydroxypoly(oxy-1,4-butanediyl), α-(2-methyl-1-oxo-2-propen-1-yl)-ω[(2-methyl-1-oxo-2-propen-1-yl)oxy]poly (oxy-1,4-butanediyl), 2-[methyl[ (1,1,2,2,3,3,4,4,5,5,6,6,7,7,7pentadecafluoroheptyl)sulfonyl] amino]ethyl 2-propenoate, 2-[methyl[ (1,1,2,2,3,3,4,4,5,5,6,6,6tridecafluorohexyl)sulfonyl]amino] ethyl 2-propenoate, 2-[methyl[ (1,1,2,2,3,3,4,4,5,5,5-undecafluoropentyl) sulfonyl]amino]ethyl 2-propenoate and 1-octanethiol"
68259-10-9,"1-Butanesulfonic acid, 1,1,2,2,3,3,4,4,4-nonafluoro-, ammonium salt"
68259-11-0,"Pentanoic acid, nonafluoro-, ammonium salt"
68259-12-1,Perfluorononanesulfonic acid
68391-08-2,"Alcohols, C8-14, γ-ω-perfluoro"
68391-09-3,"Sulfonic acids, C6-12-alkane, perfluoro potassium salts"
68412-68-0,"Phosphonic acid, perfluoro-C6-12-alkyl derivs."
68412-69-1,"Phosphinic acid, bis(perfluoro-C6-12-alkyl) derivs."
68957-57-3,"1-Propanaminium, N,N,N-trimethyl-3-[[(undecafluoropentyl)sulfonyl]amino]-, iodide"
68957-58-4,"1-Propanaminium, N,N,N-trimethyl-3-[[(tridecafluorohexyl)sulfonyl]amino]-, iodide"
68958-60-1,"Poly(oxy-1,2-ethanediyl), α-[2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl]-ω-methoxy-"
70887-84-2,2H-Perfluoro-2-decenoic acid
70887-88-6,2H-Perfluoro-2-octenoic acid (6:2)
70969-47-0,"Thiols, C8-20, γ-ω-perfluoro, telomers with acrylamide"
70983-60-7,"1-Propanaminium, 2-hydroxy-N,N,N-trimethyl-, 3-[(γ-ω-perfluoro-C6-20-alkyl)thio] derivs., chlorides"
72007-68-2,Perfluorononanoate
72629-94-8,Perfluorotridecanoic acid
72654-51-4,"Acetic acid, trifluoro-, rhodium(2+) salt"
73829-36-4,Perfluorodecanoate
754-91-6,Perfluorooctanesulfonamide
756426-58-1,Perfluoro(2-((6-chlorohexyl)oxy)ethanesulfonic acid)
757124-72-4,2-(Perfluorobutyl)-1-ethanesulfonic acid
76-05-1,"Acetic acid, trifluoro-"
763051-92-9,11-Chloroperfluoro-3-oxaundecanesulfonic acid
79780-39-5,Perfluorododecanesulfonic acid
798556-82-8,Perfluorooctadecanoate anion
812-70-4,3-(Perfluoroheptyl)propanoic acid
83329-89-9,"11-Chloroperfluoro-3-oxaundecanesulfonate, potassium salt"
862374-87-6,Perfluorotridecanoate
863090-89-5,Perfluoro-4-methoxybutanoic acid
865-86-1,"1-Dodecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9, 10,10,11,11,12,12,12-heneicosafluoro"
914637-49-3,"2H,2H,3H,3H-Perfluorooctanoic acid"
919005-14-4,"4,8-Dioxa-3H-perfluorononanoic acid"
92612-52-7,Perfluorohexanoate
93572-72-6,"Sulfonic acids, 6-12-alkane, perfluoro"
98789-57-2,"Perfluorononanesulfonic acid, sodium salt"
